Name,Team,Season,Age,G,GS,IP,K/9,BB/9,K%,BB%,ERA,FIP,xFIP,BABIP,LOB%,HR/9
Chris Sale,ATL,2024,35,29,29,177.2,11.4,1.98,0.321,0.055999999999999994,2.38,2.09,2.64,0.314,0.7979999999999999,0.46
Tarik Skubal,DET,2024,27,31,31,192.0,10.69,1.64,0.303,0.046,2.39,2.49,2.83,0.273,0.8,0.7
Zack Wheeler,PHI,2024,34,32,32,200.0,10.08,2.34,0.285,0.066,2.57,3.13,3.3,0.246,0.8009999999999999,0.9
Cole Ragans,KCR,2024,26,32,32,186.1,10.77,3.24,0.293,0.08800000000000001,3.14,2.99,3.46,0.29,0.747,0.72
Seth Lugo,KCR,2024,34,33,33,206.2,7.88,2.09,0.217,0.057,3.0,3.25,3.83,0.277,0.7509999999999999,0.7
Dylan Cease,SDP,2024,28,33,33,189.1,10.65,3.09,0.294,0.085,3.47,3.1,3.44,0.263,0.6940000000000001,0.86
Cristopher Sanchez,PHI,2024,27,31,31,181.2,7.58,2.18,0.203,0.057999999999999996,3.32,3.0,3.19,0.313,0.7120000000000001,0.54
Garrett Crochet,CHW,2024,25,32,32,146.0,12.88,2.03,0.35100000000000003,0.055,3.58,2.69,2.38,0.318,0.736,1.11
Logan Webb,SFG,2024,27,33,33,204.2,7.56,2.2,0.205,0.059000000000000004,3.47,2.95,3.28,0.315,0.7170000000000001,0.48
Paul Skenes,PIT,2024,22,23,23,133.0,11.5,2.17,0.331,0.062,1.96,2.44,2.54,0.284,0.856,0.68
George Kirby,SEA,2024,26,33,33,191.0,8.43,1.08,0.23,0.03,3.53,3.26,3.58,0.291,0.716,1.04
Logan Gilbert,SEA,2024,27,33,33,208.2,9.49,1.6,0.27399999999999997,0.046,3.23,3.27,3.11,0.236,0.695,1.12
Michael King,SDP,2024,29,31,30,173.2,10.42,3.26,0.27699999999999997,0.087,2.95,3.33,3.5,0.29,0.752,0.88
Tanner Houck,BOS,2024,28,30,30,178.2,7.76,2.42,0.207,0.065,3.12,3.32,3.58,0.282,0.7090000000000001,0.55
Tyler Glasnow,LAD,2024,30,22,22,134.0,11.28,2.35,0.322,0.067,3.49,2.9,2.68,0.253,0.698,1.01
Corbin Burnes,BAL,2024,29,32,32,194.1,8.38,2.22,0.231,0.061,2.92,3.55,3.55,0.269,0.755,1.02
Sonny Gray,STL,2024,34,28,28,166.1,10.98,2.11,0.303,0.057999999999999996,3.84,3.12,2.82,0.299,0.679,1.14
Framber Valdez,HOU,2024,30,28,28,176.1,8.63,2.81,0.24,0.078,2.91,3.25,3.08,0.276,0.7709999999999999,0.66
Hunter Greene,CIN,2024,24,26,26,150.1,10.12,3.41,0.27699999999999997,0.09300000000000001,2.75,3.47,4.19,0.237,0.805,0.72
Yusei Kikuchi,- - -,2024,33,32,32,175.2,10.55,2.25,0.28,0.06,4.05,3.46,3.2,0.309,0.7190000000000001,1.28
Reynaldo Lopez,ATL,2024,30,26,25,135.2,9.82,2.79,0.273,0.077,1.99,2.92,3.44,0.287,0.87,0.66
Ranger Suarez,PHI,2024,28,27,27,150.2,8.66,2.45,0.23199999999999998,0.065,3.46,3.37,3.26,0.299,0.7390000000000001,0.84
Max Fried,ATL,2024,30,29,29,174.1,8.57,2.94,0.23199999999999998,0.08,3.25,3.33,3.33,0.282,0.725,0.67
Nick Martinez,CIN,2024,33,42,16,142.1,7.33,1.14,0.204,0.032,3.1,3.21,3.89,0.275,0.715,0.82
Erick Fedde,- - -,2024,31,31,31,177.1,7.82,2.64,0.212,0.07200000000000001,3.3,3.86,4.12,0.271,0.792,1.02
Jack Flaherty,- - -,2024,28,28,28,162.0,10.78,2.11,0.299,0.059000000000000004,3.17,3.48,3.0,0.285,0.809,1.33
Michael Wacha,KCR,2024,32,29,29,166.2,7.83,2.43,0.212,0.066,3.35,3.65,4.14,0.29,0.7709999999999999,0.92
Tanner Bibee,CLE,2024,25,31,31,173.2,9.69,2.28,0.263,0.062,3.47,3.56,3.72,0.285,0.7709999999999999,1.14
